Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","01371","Almonds, in shell","2021","2021","t","34","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","01371","Almonds, in shell","2021","2021","1000 USD","59","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01371","Almonds, in shell","2021","2021","t","4.6","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","01371","Almonds, in shell","2022","2022","t","40","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","01371","Almonds, in shell","2022","2022","1000 USD","63","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01371","Almonds, in shell","2022","2022","t","6.75","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","21422","Almonds, shelled","2021","2021","t","3801.65","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","21422","Almonds, shelled","2021","2021","1000 USD","19899","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21422","Almonds, shelled","2021","2021","t","5.66","I","Imputed value",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","21422","Almonds, shelled","2022","2022","t","3755.07","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","21422","Almonds, shelled","2022","2022","1000 USD","19224","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21422","Almonds, shelled","2022","2022","t","3.71","I","Imputed value",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","21529.03","Animal oils and fats n.e.c.","2021","2021","t","131.36","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","21529.03","Animal oils and fats n.e.c.","2021","2021","1000 USD","629","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2021","2021","t","7948.57","A","Official figure",""
